37	42	2	42
12	2	2	6
33	20	2	21
44	29	2	31
6	17	2	21
39	48	2	51
16	36	2	32
17	66	2	62
22	32	2	33
43	22	2	25
4	71	2	70
38	14	2	12
42	41	2	40
13	6	2	5
6	7	2	7
18	47	2	47
34	56	2	53
14	70	2	67
36	51	2	50
40	36	2	32
31	66	2	66
37	61	2	60
8	58	2	57
21	8	2	8
29	46	2	44
43	27	2	31
20	10	2	8
12	6	2	2
20	53	2	52
5	36	2	36
38	39	2	38
31	17	2	19
41	16	2	12
18	11	2	9
4	27	2	28
10	31	2	27
43	11	2	9
36	62	2	64
28	46	2	45
28	31	2	27
19	57	2	61
10	47	2	48
28	11	2	10
37	61	2	60
35	16	2	14
3	8	2	9
4	31	2	31
22	37	2	37
3	5	2	6
32	65	2	65
44	5	2	4
33	9	2	10
31	6	2	4
5	27	2	30
38	38	2	38
10	47	2	51
9	43	2	43
29	32	2	36
7	37	2	40
9	8	2	10
7	67	2	69
3	20	2	18
24	37	2	37
21	24	2	24
42	31	2	29
10	62	2	64
33	65	2	64
42	46	2	42
15	3	2	4
43	57	2	58
33	8	2	11
43	41	2	41
3	4	2	4
11	22	2	23
36	21	2	19
11	2	2	3
33	14	2	12
44	63	2	65
26	19	2	19
39	58	2	57
20	44	2	43
42	2	2	3
3	65	2	66
35	11	2	8
31	11	2	7
30	22	2	22
35	56	2	53
28	61	2	60
8	9	2	8
3	53	2	53
37	12	2	15
17	41	2	41
28	26	2	23
12	42	2	42
39	14	2	14
44	8	2	10
44	33	2	34
8	28	2	31
22	61	2	60
27	60	2	58
5	11	2	8
38	5	2	5
27	53	2	55
43	16	2	16
37	66	2	64
12	52	2	56
5	7	2	11
43	66	2	63
25	12	2	15
25	12	2	16
37	16	2	16
39	9	2	9
26	50	2	47
11	57	2	61
10	67	2	71
7	62	2	62
25	22	2	24
18	71	2	71
16	52	2	54
42	17	2	19
9	4	2	5
35	37	2	40
11	46	2	45
8	3	2	2
35	71	2	67
32	5	2	4
15	4	2	6
44	25	2	25
35	11	2	11
4	67	2	69
30	46	2	46
23	37	2	40
33	33	2	35
44	39	2	38
11	16	2	12
31	2	2	3
22	6	2	5
12	27	2	30
31	71	2	68
35	37	2	37
27	59	2	58
32	70	2	71
9	4	2	6
8	13	2	12
17	52	2	55
19	42	2	43
27	39	2	37
42	27	2	29
23	47	2	50
37	57	2	61
