18	21	2	19
17	22	2	25
15	28	2	27
5	17	2	21
12	6	2	6
9	10	2	11
4	26	2	23
4	26	2	25
14	9	2	11
19	31	2	31
3	8	2	8
18	16	2	13
7	7	2	8
12	17	2	17
18	31	2	30
7	11	2	8
5	12	2	14
8	28	2	30
12	2	2	3
7	6	2	4
8	3	2	2
4	6	2	4
10	7	2	9
15	23	2	25
17	31	2	29
11	16	2	14
11	31	2	27
15	4	2	2
6	27	2	27
7	31	2	27
12	7	2	7
5	12	2	13
14	10	2	11
13	27	2	29
7	12	2	13
17	22	2	23
20	24	2	26
13	17	2	20
12	12	2	13
12	12	2	15
17	27	2	29
10	21	2	19
14	20	2	20
7	27	2	27
7	26	2	23
14	8	2	10
17	7	2	8
8	10	2	10
19	31	2	30
12	21	2	18
