37	42	2	42
12	2	2	6
33	20	2	21
44	29	2	31
6	17	2	21
39	48	2	51
16	36	2	32
17	66	2	62
22	32	2	33
43	22	2	25
4	71	2	70
38	14	2	12
42	41	2	40
13	6	2	5
6	7	2	7
18	47	2	47
34	56	2	53
14	70	2	67
36	51	2	50
40	36	2	32
31	66	2	66
37	61	2	60
8	58	2	57
21	8	2	8
29	46	2	44
43	27	2	31
20	10	2	8
12	6	2	2
20	53	2	52
5	36	2	36
38	39	2	38
31	17	2	19
41	16	2	12
18	11	2	9
4	27	2	28
10	31	2	27
43	11	2	9
36	62	2	64
28	46	2	45
28	31	2	27
19	57	2	61
10	47	2	48
28	11	2	10
37	61	2	60
35	16	2	14
3	8	2	9
4	31	2	31
22	37	2	37
3	5	2	6
32	65	2	65
44	5	2	4
33	9	2	10
31	6	2	4
5	27	2	30
38	38	2	38
10	47	2	51
9	43	2	43
29	32	2	36
7	37	2	40
9	8	2	10
7	67	2	69
3	20	2	18
24	37	2	37
21	24	2	24
42	31	2	29
10	62	2	64
33	65	2	64
42	46	2	42
15	3	2	4
43	57	2	58
