148	3
148	8
148	13
148	18
148	23
148	28
148	33
148	38
148	43
148	48
148	53
148	58
148	63
148	68
148	73
148	78
148	83
148	88
148	93
148	98
148	103
148	108
148	113
148	118
148	123
148	128
148	133
148	138
148	143
148	148
148	153
148	158
148	163
148	168
148	173
148	178
148	183
148	188
148	193
148	4
148	9
148	14
148	19
148	24
148	29
148	34
148	39
148	44
148	49
148	54
148	59
148	64
148	69
148	74
148	79
148	84
148	89
148	94
148	99
148	104
148	109
148	114
148	119
148	124
148	129
148	134
148	139
148	144
148	149
148	154
148	159
148	164
148	169
148	174
148	179
148	184
148	189
148	194
148	5
148	10
148	15
148	20
148	25
148	30
148	35
148	40
148	45
148	50
148	55
148	60
148	65
148	70
148	75
148	80
148	85
148	90
148	95
148	100
148	105
148	110
148	115
148	120
148	125
148	130
148	135
148	140
148	145
148	150
148	155
148	160
148	165
148	170
148	175
148	180
148	185
148	190
148	195
149	3
149	8
149	13
149	18
149	23
149	28
149	33
149	38
149	43
149	48
149	53
149	58
149	63
149	68
149	73
149	78
149	83
149	88
149	93
149	98
149	103
149	108
149	113
149	118
149	123
149	128
149	133
149	138
149	143
149	148
149	153
149	158
149	163
149	168
149	173
149	178
149	183
149	188
149	193
149	4
149	9
149	14
149	19
149	24
149	29
149	34
149	39
149	44
149	49
149	54
149	59
149	64
149	69
149	74
149	79
149	84
149	89
149	94
149	99
149	104
149	109
149	114
149	119
149	124
149	129
149	134
149	139
149	144
149	149
149	154
149	159
149	164
149	169
149	174
149	179
149	184
149	189
149	194
149	5
149	10
149	15
149	20
149	25
